date,Non Nước,Chùa Keo,biển Đồng Châu,Làng chạm bạc Đồng Xâm,Đền Tiên La
2011-03-01,19,2,0,0,0
2011-04-01,25,0,0,0,0
2011-05-01,16,0,0,0,0
2011-06-01,16,0,0,0,0
2011-07-01,12,0,0,0,0
2011-08-01,14,0,0,0,0
2011-09-01,15,2,2,0,0
2011-10-01,16,0,0,0,0
2011-11-01,17,2,0,0,0
2011-12-01,15,0,0,0,0
2012-01-01,14,3,0,0,0
2012-02-01,18,4,0,0,0
2012-03-01,21,2,0,0,0
2012-04-01,23,2,0,0,0
2012-05-01,16,1,0,0,0
2012-06-01,15,2,0,0,0
2012-07-01,15,0,0,0,0
2012-08-01,16,2,0,0,0
2012-09-01,19,2,0,0,0
2012-10-01,19,3,0,0,0
2012-11-01,21,2,0,0,0
2012-12-01,19,2,0,0,0
2013-01-01,20,1,0,0,0
2013-02-01,20,6,0,0,0
2013-03-01,24,3,1,0,0
2013-04-01,34,2,1,0,0
2013-05-01,24,2,0,0,0
2013-06-01,19,2,1,0,0
2013-07-01,20,2,2,0,0
2013-08-01,25,2,1,0,0
2013-09-01,24,3,1,0,0
2013-10-01,22,4,0,0,0
2013-11-01,29,2,0,0,0
2013-12-01,25,1,1,0,0
2014-01-01,21,2,0,0,0
2014-02-01,23,9,0,0,1
2014-03-01,27,4,0,0,0
2014-04-01,34,4,1,0,1
2014-05-01,27,2,2,0,0
2014-06-01,19,0,1,0,0
2014-07-01,21,1,1,0,0
2014-08-01,20,2,1,0,0
2014-09-01,25,4,1,0,0
2014-10-01,31,3,2,0,0
2014-11-01,30,2,0,0,0
2014-12-01,25,2,0,0,0
2015-01-01,24,2,0,0,0
2015-02-01,34,7,0,0,0
2015-03-01,36,7,1,0,1
2015-04-01,39,3,2,0,1
2015-05-01,30,3,2,0,1
2015-06-01,24,1,2,0,0
2015-07-01,25,1,1,0,0
2015-08-01,25,2,1,0,0
2015-09-01,31,3,1,0,0
2015-10-01,34,6,1,0,0
2015-11-01,35,3,0,0,0
2015-12-01,31,3,1,0,0
2016-01-01,27,3,0,0,0
2016-02-01,28,10,0,0,1
2016-03-01,41,5,1,0,1
2016-04-01,47,3,2,0,2
2016-05-01,33,2,2,0,0
2016-06-01,27,1,2,0,0
2016-07-01,31,2,2,0,0
2016-08-01,29,2,1,0,0
2016-09-01,34,3,1,0,0
2016-10-01,38,6,1,0,0
2016-11-01,39,3,2,0,0
2016-12-01,35,2,2,0,0
2017-01-01,32,5,0,0,0
2017-02-01,41,12,1,0,1
2017-03-01,53,4,1,0,1
2017-04-01,53,3,2,0,1
2017-05-01,38,2,1,0,0
2017-06-01,29,1,2,0,0
2017-07-01,32,2,2,0,0
2017-08-01,32,3,1,0,0
2017-09-01,43,4,1,0,0
2017-10-01,46,6,2,0,0
2017-11-01,49,5,1,0,0
2017-12-01,44,4,2,0,0
2018-01-01,41,2,1,0,0
2018-02-01,42,13,1,0,2
2018-03-01,56,8,2,0,1
2018-04-01,60,5,2,0,2
2018-05-01,49,4,2,0,0
2018-06-01,31,1,4,0,0
2018-07-01,36,3,2,0,0
2018-08-01,43,2,1,0,0
2018-09-01,48,5,2,0,0
2018-10-01,52,8,4,0,0
2018-11-01,62,3,2,0,0
2018-12-01,43,3,2,0,0
2019-01-01,41,3,1,0,0
2019-02-01,50,17,0,0,2
2019-03-01,53,6,1,0,0
2019-04-01,60,4,3,0,2
2019-05-01,42,3,3,0,0
2019-06-01,34,1,3,0,0
2019-07-01,33,1,2,0,0
2019-08-01,40,3,2,0,1
2019-09-01,47,6,2,0,0
2019-10-01,55,9,4,0,0
2019-11-01,50,3,2,0,0
2019-12-01,40,3,4,0,0
2020-01-01,37,18,1,0,1
2020-02-01,38,4,2,0,0
2020-03-01,43,2,3,0,0
2020-04-01,65,3,7,0,0
2020-05-01,70,4,5,0,1
2020-06-01,64,3,6,0,0
2020-07-01,45,2,5,0,0
2020-08-01,34,2,1,0,0
2020-09-01,42,4,2,0,1
2020-10-01,51,6,5,0,0
2020-11-01,55,4,8,0,0
2020-12-01,50,5,8,0,0
2021-01-01,48,3,3,0,1
2021-02-01,41,5,1,0,1
2021-03-01,60,6,4,0,1
2021-04-01,70,6,5,0,2
2021-05-01,55,3,9,0,4
2021-06-01,36,1,5,0,1
2021-07-01,38,1,2,0,0
2021-08-01,47,2,4,0,0
2021-09-01,54,7,4,0,1
2021-10-01,71,7,18,0,1
2021-11-01,86,5,23,0,0
2021-12-01,100,5,31,0,1
2022-01-01,90,5,24,0,2
2022-02-01,65,7,7,0,2
2022-03-01,87,5,24,0,1
2022-04-01,94,6,17,0,3
2022-05-01,77,3,12,0,1
2022-06-01,58,2,7,0,1
2022-07-01,50,2,4,0,0
2022-08-01,52,2,3,0,1
2022-09-01,63,7,10,0,1
2022-10-01,72,10,16,0,1
2022-11-01,69,3,14,0,1
2022-12-01,71,5,18,0,2
2023-01-01,53,9,7,0,2
2023-02-01,68,9,5,0,2
2023-03-01,86,7,10,0,1
2023-04-01,91,11,12,1,4
2023-05-01,69,4,12,0,2
2023-06-01,50,3,7,0,0
2023-07-01,47,3,2,0,0
2023-08-01,48,3,2,0,0
2023-09-01,52,4,6,0,1
2023-10-01,64,13,13,0,1
2023-11-01,66,6,9,0,2
2023-12-01,66,6,12,0,3
2024-01-01,55,5,6,0,1
2024-02-01,54,15,3,0,2
2024-03-01,85,7,7,0,2
2024-04-01,86,4,11,0,3
2024-05-01,64,3,11,0,0
2024-06-01,48,2,6,0,0
2024-07-01,58,2,3,0,0
2024-08-01,52,3,3,0,1
2024-09-01,56,4,4,0,1
2024-10-01,71,12,10,0,1
2024-11-01,70,5,9,0,1
2024-12-01,69,6,13,0,4
2025-01-01,56,14,7,1,10
2025-02-01,62,18,7,0,2
2025-03-01,81,6,9,0,2
2025-04-01,83,5,9,0,3
2025-05-01,59,3,9,0,0
2025-06-01,43,2,8,0,0
2025-07-01,53,2,6,0,1
2025-08-01,60,3,4,0,0
2025-09-01,60,4,6,0,1
2025-10-01,71,7,12,0,1
2025-11-01,72,10,11,0,1
