province,region,hashtag_query,video_id,title,channel_title,published_at,views,likes,comments,url
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,_mU2WNJ_2lk,"Công an Hà Nội đã dẫn độ “Mr Hunter” Lê Khắc Ngọ về Việt Nam, tiếp tục điều tra vụ án",Báo Tiền Phong News,2025-12-16T04:33:46Z,843,0,0,https://www.youtube.com/watch?v=_mU2WNJ_2lk
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,NSJUOsRjFic,"Không khí lạnh liên tục dội về, Bắc Bộ giảm bao nhiêu độ, Hà Nội mưa rét đến bao giờ?",Báo VietNamNet,2025-12-16T13:00:57Z,1834,3,0,https://www.youtube.com/watch?v=NSJUOsRjFic
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,VX6mLTE-f4U,Nóng: Danh Sách 9 Phường Tại Hà Nội Cấm Xe Máy Xăng Từ 01/7/2026 #shorts | LuatVietnam.vn,LuatVietnam,2025-12-12T08:25:45Z,23733,74,5,https://www.youtube.com/watch?v=VX6mLTE-f4U
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,4l0u-GvZi0c,"Xuyên đêm phá dỡ, cưỡng chế 357 hộ dân để làm tuyến đường “đắt nhất hành tinh” ở ""đất vàng"" Hà Nội! ",VTC NEWS,2025-12-12T11:30:08Z,98248,344,3,https://www.youtube.com/watch?v=4l0u-GvZi0c
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,Fcn7dmabZSs,"Né camera AI kiểu lạ đời: Tài xế Hà Nội dùng cát, bã kẹo cao su | BXD",Báo Xây dựng,2025-12-16T13:00:34Z,1526,2,0,https://www.youtube.com/watch?v=Fcn7dmabZSs
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,2c6brcmR16I,Bán xôi buổi sớm | Nhịp sống Hà Nội,HTV - Đài Hà Nội,2025-12-14T15:48:58Z,21467,240,8,https://www.youtube.com/watch?v=2c6brcmR16I
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,VMc3KYwGZlY,"Miền Bắc rét đậm cả tuần, nhiệt độ Hà Nội bao nhiêu độ? | Tin nhanh",Báo Pháp Luật TP HCM,2025-12-14T21:30:06Z,7516,31,0,https://www.youtube.com/watch?v=VMc3KYwGZlY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,BXAkH1xI_i8,Vụ án Mr Pips: Công an Hà Nội đã dẫn độ “ông trùm” Mr Hunter Lê Khắc Ngọ về nước,Tạp chí VietTimes,2025-12-16T04:03:10Z,1014,0,0,https://www.youtube.com/watch?v=BXAkH1xI_i8
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,5kbrdwQ44wY,"Dự báo thời tiết Hà Nội hôm nay 16/12/2025 | Hà Nội trời nhiều mây, không mưa, hanh khô",HTV - Đài Hà Nội,2025-12-15T23:30:01Z,2512,20,0,https://www.youtube.com/watch?v=5kbrdwQ44wY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,8dClDiX_ETk,Khởi tố Hiệu trưởng trường Cao đẳng ở Hà Nội: Hé lộ độc chiêu “xén tiền A80” của sinh viên,Tiền Phong TV,2025-12-16T02:37:30Z,1151,25,7,https://www.youtube.com/watch?v=8dClDiX_ETk
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,tPlA9EQCXDY,"Tường lửa Tràng An [Tập 22] Full 4K | Phim Đài Hà Nội, Phim cảnh sát hình sự, Tội phạm mạng",HTV - Đài Hà Nội,2025-12-16T14:00:07Z,21098,185,0,https://www.youtube.com/watch?v=tPlA9EQCXDY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,I5hw3ENPpsk,Tin cực vui cho người mua nhà tại Hà Nội: Mở bán loạt căn hộ giá từ 10 triệu đồng/m2,Báo Pháp luật Việt Nam,2025-12-17T03:42:23Z,152,3,1,https://www.youtube.com/watch?v=I5hw3ENPpsk
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,djFAvYIX9uw,"Ngày mai 15/12, Hà Nội chất lượng không khí ở mức xấu | VTVWDB",VTV Thời Tiết,2025-12-14T13:44:46Z,24360,118,0,https://www.youtube.com/watch?v=djFAvYIX9uw
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,wnf-udO_mRQ,Vì sao Hà Nội ô nhiễm không khí nghiêm trọng kéo dài? | VTV24,VTV24,2025-12-12T02:10:02Z,30266,278,0,https://www.youtube.com/watch?v=wnf-udO_mRQ
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,YpkKpP88Rzc,A.I sẽ giúp giao thông Hà Nội giảm ùn tắc như thế nào? | VTV24,VTV24,2025-12-14T13:13:08Z,13416,85,0,https://www.youtube.com/watch?v=YpkKpP88Rzc
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,FATD1jS9hwo,Hà Nội đầu tư 24.000 tỉ để khắc phục úng ngập đô thị,Báo Thanh Niên,2025-12-17T00:00:06Z,338,3,0,https://www.youtube.com/watch?v=FATD1jS9hwo
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,lFHgEeeDzbY,Lòng se điếu dài 10m ngon rẻ tại chợ Hà Nội | Bộ lòng se điếu khủng hơn 18m là có thật,BCB,2025-12-15T12:51:27Z,3334,17,49,https://www.youtube.com/watch?v=lFHgEeeDzbY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,8pAymlOkj2g,"Dự báo thời tiết Hà Nội đêm nay, ngày mai 16/12 | Hà Nội đêm lạnh sâu, sáng ra có nắng, trời ấm lên",HTV - Đài Hà Nội,2025-12-15T12:54:24Z,4728,27,0,https://www.youtube.com/watch?v=8pAymlOkj2g
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,3UlwRF1HwSE,Đền bù “khu đất kim cương” làm quảng trường Hồ Gươm - Hà Nội: Một hộ dân nhận 400 tỷ đồng | VTC News,VTC NEWS,2025-12-12T13:00:08Z,81925,301,3,https://www.youtube.com/watch?v=3UlwRF1HwSE
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,NrsMf55KyDc,"Bản tin trưa 16/12: Hiệu trưởng Trường Cao đẳng Du lịch Hà Nội bị lật tẩy chiêu ""mập mờ"" tiền A80",Báo Điện tử Tiếng nói Việt Nam (VOV),2025-12-16T05:45:06Z,709,10,0,https://www.youtube.com/watch?v=NrsMf55KyDc
