"Tỉnh, thành phố",Tổng số 2018,Tổng số 2019,Tổng số 2020,Tổng số 2021,Tổng số 2022,Tổng số 2023,Tổng số Sơ bộ 2024,Nam 2018,Nam 2019,Nam 2020,Nam 2021,Nam 2022,Nam 2023,Nam Sơ bộ 2024,Nữ 2018,Nữ 2019,Nữ 2020,Nữ 2021,Nữ 2022,Nữ 2023,Nữ Sơ bộ 2024,Thành thị 2018,Thành thị 2019,Thành thị 2020,Thành thị 2021,Thành thị 2022,Thành thị 2023,Thành thị Sơ bộ 2024,Nông thôn 2018,Nông thôn 2019,Nông thôn 2020,Nông thôn 2021,Nông thôn 2022,Nông thôn 2023,Nông thôn Sơ bộ 2024
Bắc Trung Bộ và Duyên hải miền Trung,"20085,1","20220,4","20343,18","20584,91","20655,16","20768,65","20960,53","9985,8","10062,1","10120,51","10243,78","10312,49","10371,83","10468,19","10099,3","10158,4","10222,67","10341,13","10342,68","10396,82","10492,35","5642,6",5745,"6409,13","6681,29","6770,88","6894,62","7005,15","14442,4","14475,4","13934,04","13903,61","13884,33","13874,03",13955.39
Thanh Hoá,"3631,3","3645,8","3664,94","3716,43","3722,06","3739,48","3764,24","1810,3","1819,3","1821,48","1848,07","1858,34","1867,22","1879,7",1821,"1826,5","1843,47","1868,35","1863,72","1872,26","1884,54","523,8","547,2","853,28","993,39","1029,9","1036,13","1058,18","3107,5","3098,6","2811,66","2723,04","2692,16","2703,35",2706.07
Nghệ An,"3291,4","3337,2","3365,2","3409,81","3419,99","3441,97","3472,29","1643,9","1669,5","1684,95","1708,42","1711,83","1724,5","1740,47","1647,5","1667,7","1680,24","1701,39","1708,16","1717,48","1731,82","483,9","490,5","521,61","529,48","530,45","540,04",546,"2807,5","2846,7","2843,59","2880,33","2889,54","2901,93",2926.29
Hà Tĩnh,"1280,5","1290,3","1296,62","1314,06","1317,25","1323,75","1329,83","636,3","641,5","642,16","650,79","655,1","658,39","661,22","644,2","648,8","654,46","663,26","662,16","665,35","668,61","245,1","253,9","287,77","293,01","293,7","298,05","300,38","1035,4","1036,4","1008,86","1021,1","1023,6","1025,7",1029.45
Quảng Bình,"891,1","896,6","901,98","910,66","913,86","918,66","924,76","446,8","449,9","452,85","457,4","460,27","462,73","465,4","444,3","446,7","449,14","453,2","453,6","455,93","459,36","185,2","188,2","207,11","210,07","211,7","214,87","217,25",706,"708,4","694,87","700,59","702,16","703,79",707.5
Quảng Trị,"629,7","633,4","637,39","647,79","650,95","654,2","659,21","312,1","314,1","316,01","321,79","324,03","325,83","328,51","317,7","319,4","321,37",326,"326,92","328,37","330,7","193,2","196,4","206,86","210,96","212,59","214,25","216,04","436,5","437,1","430,52","436,83","438,36","439,95",443.17
Huế,"1125,4","1129,5","1133,59","1153,8","1160,22","1166,55","1178,55","556,9",559,"561,24","571,24","578,22","581,43","587,41","568,6","570,5","572,35","582,5",582,"585,11","591,14","548,1","563,4","562,32","609,38","612,83","616,23","622,59","577,4","566,1","571,27","544,42","547,4","550,31",555.96
Đà Nẵng,"1114,4","1141,1","1169,48","1195,49","1220,19","1245,21",1276,"549,3","562,4","578,57","591,43","604,48","617,13","632,42","565,1","578,7","590,92","604,06","615,71","628,09","643,58","970,9","994,6","1020,44","1044,33","1067,07","1091,34","1120,46","143,4","146,5","149,04","151,16","153,12","153,88",155.54
Quảng Nam,"1490,8","1497,5","1505,04","1518,48","1519,38","1526,06","1543,94","732,8","736,5","740,36","746,97","750,47","753,84","762,72","757,9","760,9","764,69","771,51","768,91","772,21","781,22","373,1","379,6","396,2","401,26","407,39","469,14","474,84","1117,7","1117,8","1108,84","1117,22","1111,99","1056,92",1069.1
Quảng Ngãi,"1230,5","1231,9","1233,4","1244,13","1245,65","1248,11","1259,9","608,2","608,9","609,7","615,01","620,1","621,38","627,29","622,4",623,"623,7","629,12","625,55","626,73","632,61","199,1","201,5","260,18","262,66","272,22","272,96","280,86","1031,5","1030,4","973,21","981,48","973,43","975,16",979.03
Bình Định,"1487,8","1487,8","1487,9","1508,32","1504,29","1506,33","1518,45","730,7","732,7","732,81","742,87","747,88","748,97","755,04","757,1","755,1","755,1","765,46","756,41","757,36","763,41","475,5","476,8","599,85","620,81","619,65","620,87","627,85","1012,2",1011,"888,05","887,51","884,64","885,46",890.61
Phú Yên,"871,5","873,2","874,3","875,54","876,62","877,7","885,16","438,2","439,2","439,7","440,31","441,87","442,46","446,24","433,3","433,9","434,59","435,22","434,75","435,25","438,92","250,5",251,"285,9","286,32","286,68","287,05","292,1",621,"622,2","588,39","589,21","589,94","590,65",593.06
Khánh Hoà,"1224,5","1232,8","1240,44","1248,06","1253,97","1260,62","1269,29","608,9","613,5","617,7","621,4","625,3","628,61","632,83","615,6","619,4","622,74","626,66","628,67","632,01","636,46","514,7","521,3","525,87","528,74","531,19","534,36","538,12","709,8","711,5","714,56","719,32","722,78","726,26",731.17
Ninh Thuận,"588,9",591,"593,64","596,05","598,68","601,22","612,69","295,1","296,4","299,88","301,1","303,43","304,74","310,58","293,8","294,7","293,76","294,9","295,25","296,47","302,11","210,7","211,3","209,6","211,04","212,26","213,43","221,71","378,1","379,7","384,05","385,01","386,42","387,78",390.98
