Địa phương,Năm,Diện tích (Km2),Dân số trung bình (nghìn),Mật độ dân số (người/km2),province_normalized
Tiền Giang,2024,2556.4,1796.1,702.6,Đồng Tháp
Trung du và miền núi phía Bắc,2018,95222.2,12404.9,130.3,Cao Bằng
Trung du và miền núi phía Bắc,2019,95221.9,12569.3,132,Cao Bằng
Trung du và miền núi phía Bắc,2020,95184.1,12725.8,134,Cao Bằng
Trung du và miền núi phía Bắc,2021,95184.1,12925.1,136,Cao Bằng
Trung du và miền núi phía Bắc,2022,95184.2,13023.2,137,Cao Bằng
Trung du và miền núi phía Bắc,2023,95184.1,13162.4,138.3,Cao Bằng
Trung du và miền núi phía Bắc,2024,95177,13338.9,140.1,Cao Bằng
Trà Vinh,2018,2358.3,1008.8,427.8,Vĩnh Long
Trà Vinh,2019,2358.3,1009.3,428,Vĩnh Long
Trà Vinh,2020,2390.8,1009.9,422,Vĩnh Long
Trà Vinh,2021,2390.8,1018.6,426,Vĩnh Long
Trà Vinh,2022,2390.8,1019.3,426,Vĩnh Long
Trà Vinh,2023,2390.8,1019.9,426.6,Vĩnh Long
Trà Vinh,2024,2390.8,1023.9,428.3,Vĩnh Long
Tuyên Quang,2018,5867.9,778.3,132.6,Tuyên Quang
Tuyên Quang,2019,5867.9,786.3,134,Tuyên Quang
Tuyên Quang,2020,5867.9,792.9,135,Tuyên Quang
Tuyên Quang,2021,5868,801.7,137,Tuyên Quang
Tuyên Quang,2022,5868,805.8,137,Tuyên Quang
Tuyên Quang,2023,5867.9,812.2,138.4,Tuyên Quang
Tuyên Quang,2024,5868,820.3,139.8,Tuyên Quang
Tây Nguyên,2018,54508.3,5796.4,106.3,Đắk Lắk
Tây Nguyên,2019,54508.3,5861.3,108,Đắk Lắk
Tây Nguyên,2020,54545.2,5932.1,109,Đắk Lắk
Tây Nguyên,2021,54548.3,6033.8,111,Đắk Lắk
Tây Nguyên,2022,54548.3,6092.4,112,Đắk Lắk
Tây Nguyên,2023,54548.3,6163.6,113,Đắk Lắk
Tây Nguyên,2024,54548.3,6241,114.4,Đắk Lắk
Tây Ninh,2018,4041.3,1160.7,287.2,Tây Ninh
Tây Ninh,2019,4041.3,1171.7,290,Tây Ninh
Tây Ninh,2020,4041.7,1178.3,292,Tây Ninh
Tây Ninh,2021,4041.7,1181.9,292,Tây Ninh
Tây Ninh,2022,4041.7,1188.8,294,Tây Ninh
Tây Ninh,2023,4041.7,1194.9,295.6,Tây Ninh
Tây Ninh,2024,4041.7,1202.8,297.6,Tây Ninh
Vĩnh Long,2018,1525.7,1022.7,670.3,Vĩnh Long
Vĩnh Long,2019,1525.7,1022.6,670,Vĩnh Long
Vĩnh Long,2020,1525.7,1023,670,Vĩnh Long
Vĩnh Long,2021,1525.7,1029,674,Vĩnh Long
Vĩnh Long,2022,1525.7,1028.8,674,Vĩnh Long
Vĩnh Long,2023,1525.7,1029.6,674.8,Vĩnh Long
Vĩnh Long,2024,1525.7,1037.3,679.9,Vĩnh Long
Vĩnh Phúc,2018,1235.2,1138.4,921.6,Phú Thọ
Vĩnh Phúc,2019,1235.9,1154.8,934,Phú Thọ
Vĩnh Phúc,2020,1236,1171.2,948,Phú Thọ
Vĩnh Phúc,2021,1236,1191.8,964,Phú Thọ
Vĩnh Phúc,2022,1236,1197.6,969,Phú Thọ
Vĩnh Phúc,2023,1236,1211.3,980.1,Phú Thọ
Vĩnh Phúc,2024,1236,1225.3,991.3,Phú Thọ
Yên Bái,2018,6887.7,814.6,118.3,Lào Cai
Yên Bái,2019,6887.5,823,119,Lào Cai
Yên Bái,2020,6892.7,831.6,121,Lào Cai
Yên Bái,2021,6892.7,842.7,122,Lào Cai
Yên Bái,2022,6892.7,847.2,123,Lào Cai
Yên Bái,2023,6892.7,855.5,124.1,Lào Cai
Yên Bái,2024,6892.7,864.4,125.4,Lào Cai
Điện Biên,2018,9541.2,590.5,61.9,Điện Biên
Điện Biên,2019,9541.3,601.7,63,Điện Biên
Điện Biên,2020,9539.9,613.5,64,Điện Biên
Điện Biên,2021,9539.9,625.1,66,Điện Biên
Điện Biên,2022,9539.9,635.9,67,Điện Biên
