stt,province,festival_name,type,month_gregorian_2018,month_gregorian_2019,month_gregorian_2020,month_gregorian_2021,month_gregorian_2022,month_gregorian_2023,month_gregorian_2024,month_gregorian_2025,province_normalized
85,Nghệ An,Lễ hội Làng Vạn Lộc,Truyền thống,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Nghệ An
86,Ninh Bình,Lễ hội Hoa Lư,Lịch sử,2018-04,2019-04,2020-03,2021-04,2022-04,2023-04,2024-04,2025-04,Ninh Bình
87,Ninh Bình,Lễ hội Chùa Bái Đính,Tôn giáo,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Ninh Bình
88,Ninh Bình,Lễ hội Tràng An,Thiên nhiên,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-01,Ninh Bình
89,Ninh Thuận,Lễ hội Katé,Dân tộc,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,Khánh Hoà
90,Phú Thọ,Giỗ Tổ Hùng Vương - Đền Hùng,Truyền thống,2018-04,2019-04,2020-03,2021-04,2022-04,2023-04,2024-04,2025-04,Phú Thọ
91,Phú Thọ,Hội Phết Hiền Quan,Thể thao,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Phú Thọ
92,Phú Yên,Lễ hội Đua thuyền Ô Loan,Ngư nghiệp,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Đắk Lắk
93,Phú Yên,Lễ hội Đâm trâu,Dân tộc,2018-04,2019-04,2020-03,2021-04,2022-04,2023-04,2024-04,2025-03,Đắk Lắk
94,Phú Yên,Hội hoa Xuân truyền thống,Truyền thống,2019-02,2020-01,2021-02,2022-01,2023-01,2024-02,2025-01,2026-02,Đắk Lắk
95,Quảng Bình,Lễ hội Đua thuyền Lệ Thủy,Thể thao,2018-09,2019-09,2020-09,2021-09,2022-09,2023-09,2024-09,2025-09,Quảng Trị
96,Quảng Nam,Lễ hội Rước cộ Bà Chợ Được,Truyền thống,2018-03,2019-03,2020-02,2021-03,2022-03,2023-02,2024-03,2025-02,TP. Đà Nẵng
97,Quảng Nam,Lễ hội Bà Thu Bồn,Tôn giáo,2018-03,2019-03,2020-02,2021-03,2022-03,2023-02,2024-03,2025-02,TP. Đà Nẵng
98,Quảng Nam,Lễ hội Cầu Ngư,Ngư nghiệp,2018-04,2019-04,2020-04,2021-04,2022-04,2023-04,2024-04,2025-04,TP. Đà Nẵng
99,Quảng Ngãi,Lễ hội Đua thuyền Tứ Linh (Lý Sơn),Thể thao,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Quảng Ngãi
100,Quảng Ninh,Lễ hội Yên Tử,Tôn giáo,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02,Quảng Ninh
101,Quảng Ninh,Lễ hội Đền Cửa Ông,Lịch sử,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Quảng Ninh
102,Quảng Ninh,Lễ hội Đình Quan Lạn,Truyền thống,2018-07,2019-07,2020-08,2021-07,2022-07,2023-08,2024-07,2025-07,Quảng Ninh
103,Quảng Ninh,Lễ hội Chùa Quỳnh Lâm,Tôn giáo,2018-03,2019-03,2020-02,2021-03,2022-03,2023-02,2024-03,2025-03,Quảng Ninh
104,Quảng Ninh,Lễ hội Đình Trà Cổ,Truyền thống,2018-07,2019-07,2020-07,2021-07,2022-06,2023-07,2024-07,2025-06,Quảng Ninh
105,Quảng Trị,Lễ hội Đâm trâu (Vân Kiều),Dân tộc,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2024-02,Quảng Trị
106,Quảng Trị,Lễ hội Ariêu Piing (Tà Ôi),Dân tộc,2018-04,2019-04,2020-03,2021-04,2022-04,2023-04,2024-04,2025-03,Quảng Trị
107,Sóc Trăng,Lễ hội Ok Om Bok (Khmer),Dân tộc,2018-11,2019-11,2020-11,2021-11,2022-11,2023-11,2024-11,2025-12,TP. Cần Thơ
108,Sơn La,Lễ hội Xíp Xi (Thái Kháng),Dân tộc,2018-08,2019-08,2020-08,2021-08,2022-08,2023-08,2024-08,2025-08,Sơn La
109,Sơn La,Lễ hội Mừng cơm mới (Thái),Dân tộc,2018-11,2019-10,2020-11,2021-11,2022-10,2023-11,2024-11,2025-11,Sơn La
110,Tây Ninh,Lễ hội Kỳ Yên đình Gia Lộc,Truyền thống,2018-03,2019-03,2020-02,2021-03,2022-03,2023-02,2024-03,2025-02,Tây Ninh
111,Tây Ninh,Lễ hội Bà Đen,Tôn giáo,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Tây Ninh
112,Tây Ninh,Hội Yến Diêu Trì Cung,Tôn giáo,2018-09,2019-09,2020-10,2021-09,2022-09,2023-09,2024-09,2025-10,Tây Ninh
113,Thái Bình,Hội Chùa Keo,Tôn giáo,2018-10,2019-10,2020-10,2021-10,2022-10,2023-10,2024-10,2025-10,Hưng Yên
114,Thái Bình,Hội Đền Đồng Xâm,Truyền thống,2018-05,2019-05,2020-04,2021-05,2022-05,2023-05,2024-05,2025-04,Hưng Yên
115,Thái Bình,Hội Đền Tiên La (Hưng Hà),Truyền thống,2018-05,2019-04,2020-04,2021-04,2022-04,2023-05,2024-04,2025-04,Hưng Yên
116,Thái Bình,Hội Vạn Xuân miếu Hai Thôn (Vũ Thư),Truyền thống,2018-03,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03,Hưng Yên
117,Thái Nguyên,Hội Đền Đuổm,Lịch sử,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Thái Nguyên
118,Thừa Thiên Huế,Lễ hội Vật làng Sình,Thể thao,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02,TP. Huế
119,Thừa Thiên Huế,Lễ Cầu Ngư Thuận An,Ngư nghiệp,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,TP. Huế
120,Thừa Thiên Huế,Lễ hội Kỳ Thạch (Hương Trà),Truyền thống,2018-07,2019-07,2020-07,2021-07,2022-06,2023-07,2024-07,2025-06,TP. Huế
121,Thừa Thiên Huế,Lễ hội Sông Mang,Lịch sử,2018-07,2019-07,2020-07,2021-07,2022-06,2023-07,2024-07,2025-06,TP. Huế
122,Thừa Thiên Huế,Festival Huế,Văn hóa,2018-05,2019-05,2020-04,2021-05,2022-05,2023-05,2024-05,2025-04,TP. Huế
123,Tiền Giang,Kỷ niệm Ấp Bắc,Lịch sử,2018-01,2019-01,2020-01,2021-01,2022-01,2023-01,2024-01,2025-01,Đồng Tháp
124,TP. Hồ Chí Minh,Lễ hội Nghinh Ông Cần Giờ,Ngư nghiệp,2018-09,2019-09,2020-10,2021-09,2022-09,2023-09,2024-09,2025-10,TP. Hồ Chí Minh
125,TP. Hồ Chí Minh,Lễ hội Nguyên Tiêu,Truyền thống,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,TP. Hồ Chí Minh
126,TP. Hồ Chí Minh,Tết Ka-tê (Chăm),Dân tộc,2018-10,2019-09,2020-10,2021-10,2022-09,2023-10,2024-10,2025-10,TP. Hồ Chí Minh
127,Trà Vinh,Tết Chol Chnam Thmay (Khmer),Dân tộc,2018-04,2019-04,2020-04,2021-04,2022-04,2023-04,2024-04,2025-04,Vĩnh Long
128,Trà Vinh,Lễ Dolta (Khmer),Dân tộc,2018-10,2019-10,2020-10,2021-10,2022-10,2023-10,2024-10,2024-10,Vĩnh Long
129,Tuyên Quang,Lễ hội Lồng Tồng (Tày),Dân tộc,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02,Tuyên Quang
130,Tuyên Quang,Lễ hội Thành Tuyên,Văn hóa,2018-08,2019-08,2020-08,2021-08,2022-08,2023-08,2024-08,2025-08,Tuyên Quang
131,Tuyên Quang,Lễ hội Ném còn Giếng Tanh (Cao Lan),Dân tộc,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02,Tuyên Quang
132,Vĩnh Long,Hội Đình Long Thanh,Truyền thống,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Vĩnh Long
133,Vĩnh Long,Giỗ Phan Thanh Giản,Lịch sử,2018-08,2019-08,2020-08,2021-08,2022-08,2023-08,2024-08,2025-08,Vĩnh Long
134,Vĩnh Phúc,Hội Tây Thiên,Tôn giáo,2018-03,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03,Phú Thọ
135,Yên Bái,Lễ hội Đền Đông Cuông,Lịch sử,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-01,Lào Cai
136,Yên Bái,Lễ hội Ruộng bậc thang Mù Cang Chải,Văn hóa,2018-09,2019-09,2020-09,2021-09,2022-09,2023-09,2024-09,2024-09,Lào Cai
137,Toàn quốc,Tết Nguyên Đán (Âm lịch),Truyền thống,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-01,
138,Toàn quốc,Lễ Vu Lan (Báo hiếu),Tôn giáo,2018-08,2019-08,2020-09,2021-08,2022-08,2023-08,2024-08,2025-09,
139,Toàn quốc,Tết Trung Thu,Truyền thống,2018-09,2019-09,2020-10,2021-09,2022-09,2023-09,2024-09,2025-10,
140,Thừa Thiên Huế,Festival Huế (kỳ tháng 6),Văn hóa,2018-06,2019-06,2020-06,2021-06,2022-06,2023-06,2024-06,2025-06,TP. Huế
141,Thừa Thiên Huế,Festival Huế (kỳ tháng 8),Văn hóa,2018-08,2019-08,2020-08,2021-08,2022-08,2023-08,2024-08,2025-08,TP. Huế
142,Thừa Thiên Huế,Festival Huế (kỳ tháng 10),Văn hóa,2018-10,2019-10,2020-10,2021-10,2022-10,2023-10,2024-10,2025-10,TP. Huế
