date,Chùa Keo,Mũi Né,Non Nước,Rau má,Đồi Sứ
thg 2 2013,2.0,11.0,7.0,6.0,0.0
thg 2 2014,3.0,12.0,8.0,6.0,0.0
thg 2 2015,3.0,14.0,13.0,7.0,0.0
thg 2 2016,4.0,21.0,11.0,9.0,0.0
thg 2 2017,4.0,30.0,15.0,15.0,0.0
thg 2 2018,5.0,35.0,16.0,19.0,0.0
thg 2 2019,6.0,43.0,18.0,24.0,0.0
thg 2 2020,1.0,28.0,14.0,29.0,0.0
thg 2 2021,2.0,25.0,15.0,35.0,0.0
thg 2 2022,3.0,44.0,25.0,36.0,0.0
thg 2 2023,3.0,35.0,26.0,40.0,0.0
thg 2 2024,6.0,55.0,20.0,39.0,0.0
thg 2 2025,6.0,45.0,23.0,33.0,0.0
thg 3 2004,0.0,0.0,0.0,0.0,0.0
thg 3 2005,0.0,0.0,0.0,0.0,0.0
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,0.0,15.0,0.0,0.0,0.0
thg 3 2008,0.0,18.0,0.0,0.0,0.0
thg 3 2009,0.0,8.0,11.0,0.0,0.0
thg 3 2010,0.0,11.0,7.0,5.0,0.0
thg 3 2011,0.0,11.0,8.0,3.0,0.0
thg 3 2012,1.0,9.0,8.0,6.0,0.0
thg 3 2013,1.0,12.0,9.0,7.0,0.0
thg 3 2014,1.0,12.0,10.0,10.0,0.0
thg 3 2015,3.0,20.0,14.0,12.0,0.0
thg 3 2016,2.0,21.0,15.0,15.0,0.0
thg 3 2017,1.0,27.0,20.0,20.0,0.0
thg 3 2018,3.0,34.0,21.0,30.0,0.0
thg 3 2019,2.0,44.0,20.0,28.0,0.0
thg 3 2020,1.0,14.0,16.0,37.0,0.0
thg 3 2021,2.0,37.0,22.0,43.0,0.0
thg 3 2022,2.0,34.0,33.0,44.0,0.0
thg 3 2023,3.0,33.0,30.0,53.0,0.0
thg 3 2024,3.0,44.0,31.0,47.0,0.0
thg 3 2025,2.0,48.0,30.0,45.0,0.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,0.0,32.0,0.0,0.0,0.0
thg 4 2008,7.0,18.0,9.0,7.0,0.0
thg 4 2009,0.0,14.0,7.0,0.0,0.0
thg 4 2010,0.0,13.0,8.0,5.0,0.0
thg 4 2011,0.0,13.0,9.0,7.0,0.0
thg 4 2012,0.0,11.0,9.0,8.0,0.0
thg 4 2013,1.0,16.0,13.0,8.0,0.0
thg 4 2014,1.0,17.0,13.0,13.0,0.0
thg 4 2015,1.0,26.0,14.0,14.0,0.0
thg 4 2016,1.0,29.0,17.0,21.0,0.0
thg 4 2017,1.0,36.0,20.0,24.0,0.0
thg 4 2018,2.0,40.0,22.0,29.0,0.0
thg 4 2019,1.0,71.0,22.0,35.0,0.0
thg 4 2020,1.0,13.0,24.0,49.0,0.0
thg 4 2021,2.0,46.0,26.0,45.0,0.0
thg 4 2022,2.0,51.0,35.0,46.0,0.0
thg 4 2023,4.0,40.0,32.0,60.0,0.0
thg 4 2024,2.0,53.0,33.0,51.0,0.0
thg 4 2025,2.0,51.0,31.0,42.0,0.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,27.0,0.0,0.0,0.0
thg 5 2007,0.0,18.0,0.0,0.0,0.0
thg 5 2008,0.0,14.0,7.0,7.0,0.0
thg 5 2009,0.0,16.0,6.0,4.0,0.0
thg 5 2010,0.0,12.0,6.0,6.0,0.0
thg 5 2011,0.0,13.0,6.0,6.0,0.0
thg 5 2012,1.0,12.0,6.0,8.0,0.0
thg 5 2013,1.0,16.0,9.0,10.0,0.0
thg 5 2014,1.0,17.0,10.0,13.0,0.0
thg 5 2015,1.0,23.0,11.0,17.0,0.0
thg 5 2016,1.0,27.0,12.0,18.0,0.0
thg 5 2017,1.0,36.0,14.0,22.0,0.0
thg 5 2018,1.0,40.0,18.0,30.0,0.0
thg 5 2019,1.0,45.0,16.0,32.0,0.0
thg 5 2020,2.0,31.0,26.0,52.0,0.0
thg 5 2021,1.0,25.0,21.0,54.0,0.0
thg 5 2022,1.0,42.0,28.0,45.0,0.0
thg 5 2023,2.0,70.0,26.0,64.0,0.0
thg 5 2024,1.0,51.0,24.0,46.0,0.0
thg 5 2025,1.0,63.0,22.0,42.0,0.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,0.0,0.0,0.0,0.0,0.0
thg 6 2007,0.0,28.0,0.0,0.0,0.0
thg 6 2008,0.0,15.0,0.0,0.0,0.0
thg 6 2009,0.0,10.0,5.0,6.0,0.0
thg 6 2010,0.0,13.0,0.0,4.0,0.0
thg 6 2011,0.0,17.0,6.0,5.0,0.0
thg 6 2012,1.0,14.0,6.0,8.0,0.0
thg 6 2013,1.0,18.0,7.0,8.0,0.0
thg 6 2014,0.0,20.0,7.0,9.0,0.0
thg 6 2015,1.0,26.0,9.0,13.0,0.0
thg 6 2016,1.0,35.0,10.0,16.0,0.0
thg 6 2017,1.0,46.0,11.0,20.0,0.0
thg 6 2018,0.0,45.0,11.0,22.0,0.0
thg 6 2019,1.0,54.0,13.0,31.0,0.0
thg 6 2020,1.0,40.0,24.0,43.0,0.0
thg 6 2021,0.0,9.0,13.0,48.0,0.0
thg 6 2022,1.0,60.0,22.0,47.0,0.0
thg 6 2023,1.0,100.0,19.0,63.0,0.0
thg 6 2024,1.0,76.0,18.0,46.0,0.0
thg 6 2025,1.0,77.0,17.0,37.0,0.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,0.0,36.0,0.0,0.0,0.0
thg 7 2007,0.0,31.0,17.0,0.0,0.0
thg 7 2008,0.0,16.0,0.0,0.0,0.0
thg 7 2009,0.0,13.0,6.0,5.0,0.0
thg 7 2010,0.0,12.0,6.0,3.0,0.0
thg 7 2011,0.0,15.0,4.0,4.0,0.0
thg 7 2012,0.0,16.0,5.0,7.0,0.0
thg 7 2013,1.0,17.0,7.0,8.0,0.0
thg 7 2014,1.0,21.0,8.0,9.0,0.0
thg 7 2015,1.0,26.0,10.0,13.0,0.0
thg 7 2016,1.0,37.0,12.0,15.0,0.0
thg 7 2017,1.0,46.0,12.0,17.0,0.0
thg 7 2018,1.0,49.0,13.0,24.0,0.0
thg 7 2019,1.0,53.0,13.0,26.0,0.0
thg 7 2020,1.0,60.0,17.0,40.0,0.0
thg 7 2021,1.0,8.0,14.0,41.0,0.0
thg 7 2022,1.0,68.0,19.0,42.0,0.0
thg 7 2023,1.0,98.0,18.0,49.0,0.0
thg 7 2024,1.0,81.0,22.0,40.0,0.0
thg 7 2025,1.0,88.0,19.0,48.0,0.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,37.0,0.0,0.0,0.0
thg 8 2007,0.0,16.0,11.0,0.0,0.0
thg 8 2008,0.0,10.0,0.0,0.0,0.0
thg 8 2009,0.0,8.0,4.0,3.0,0.0
thg 8 2010,0.0,9.0,5.0,5.0,0.0
thg 8 2011,0.0,10.0,5.0,4.0,0.0
thg 8 2012,1.0,11.0,6.0,7.0,0.0
