date,Ba Vì,Nhà thờ dòng chúa Cứu Thế,Rau má,Việt phủ Thành Chương,suối nước khoáng nóng Thanh Tân
thg 4 2022,41.0,0.0,20.0,1.0,0.0
thg 4 2023,32.0,0.0,26.0,1.0,0.0
thg 4 2024,30.0,0.0,22.0,1.0,0.0
thg 4 2025,23.0,0.0,18.0,1.0,0.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,0.0,0.0,0.0,0.0
thg 5 2007,0.0,0.0,0.0,0.0,0.0
thg 5 2008,3.0,0.0,3.0,0.0,0.0
thg 5 2009,4.0,0.0,2.0,0.0,0.0
thg 5 2010,10.0,0.0,3.0,0.0,0.0
thg 5 2011,5.0,0.0,2.0,0.0,0.0
thg 5 2012,6.0,0.0,4.0,0.0,0.0
thg 5 2013,7.0,0.0,4.0,7.0,0.0
thg 5 2014,7.0,0.0,6.0,0.0,0.0
thg 5 2015,9.0,0.0,7.0,1.0,0.0
thg 5 2016,12.0,0.0,8.0,1.0,0.0
thg 5 2017,14.0,0.0,10.0,0.0,0.0
thg 5 2018,17.0,0.0,13.0,1.0,0.0
thg 5 2019,17.0,0.0,14.0,0.0,0.0
thg 5 2020,21.0,0.0,23.0,0.0,0.0
thg 5 2021,20.0,0.0,23.0,0.0,0.0
thg 5 2022,34.0,0.0,20.0,1.0,0.0
thg 5 2023,30.0,0.0,28.0,1.0,0.0
thg 5 2024,28.0,0.0,20.0,1.0,0.0
thg 5 2025,21.0,0.0,18.0,1.0,0.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,14.0,0.0,0.0,0.0,0.0
thg 6 2007,0.0,0.0,0.0,0.0,0.0
thg 6 2008,0.0,0.0,0.0,0.0,0.0
thg 6 2009,6.0,0.0,3.0,0.0,0.0
thg 6 2010,7.0,0.0,2.0,0.0,0.0
thg 6 2011,4.0,0.0,2.0,0.0,0.0
thg 6 2012,6.0,0.0,4.0,1.0,0.0
thg 6 2013,6.0,0.0,4.0,1.0,0.0
thg 6 2014,6.0,0.0,4.0,0.0,0.0
thg 6 2015,8.0,0.0,6.0,0.0,0.0
thg 6 2016,11.0,0.0,7.0,0.0,0.0
thg 6 2017,13.0,0.0,9.0,0.0,0.0
thg 6 2018,13.0,0.0,10.0,0.0,0.0
thg 6 2019,17.0,0.0,14.0,0.0,0.0
thg 6 2020,23.0,0.0,19.0,0.0,0.0
thg 6 2021,16.0,0.0,21.0,0.0,0.0
thg 6 2022,27.0,0.0,21.0,1.0,0.0
thg 6 2023,23.0,0.0,28.0,1.0,0.0
thg 6 2024,21.0,0.0,20.0,1.0,0.0
thg 6 2025,21.0,0.0,16.0,1.0,0.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,13.0,0.0,0.0,0.0,0.0
thg 7 2007,0.0,0.0,0.0,0.0,0.0
thg 7 2008,3.0,0.0,0.0,0.0,0.0
thg 7 2009,5.0,0.0,2.0,0.0,0.0
thg 7 2010,4.0,0.0,1.0,0.0,0.0
thg 7 2011,5.0,0.0,2.0,0.0,0.0
thg 7 2012,5.0,0.0,3.0,1.0,0.0
thg 7 2013,6.0,0.0,3.0,1.0,0.0
thg 7 2014,6.0,0.0,4.0,0.0,0.0
thg 7 2015,8.0,0.0,5.0,0.0,0.0
thg 7 2016,12.0,0.0,7.0,0.0,0.0
thg 7 2017,12.0,0.0,8.0,0.0,0.0
thg 7 2018,19.0,0.0,11.0,0.0,0.0
thg 7 2019,15.0,0.0,11.0,0.0,0.0
thg 7 2020,20.0,0.0,18.0,0.0,0.0
thg 7 2021,16.0,0.0,18.0,0.0,0.0
thg 7 2022,24.0,0.0,18.0,1.0,0.0
thg 7 2023,21.0,0.0,22.0,0.0,0.0
thg 7 2024,21.0,0.0,17.0,1.0,0.0
thg 7 2025,24.0,0.0,21.0,1.0,0.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,0.0,0.0,0.0,0.0
thg 8 2007,0.0,0.0,0.0,0.0,0.0
thg 8 2008,0.0,0.0,0.0,0.0,0.0
thg 8 2009,5.0,0.0,1.0,0.0,0.0
thg 8 2010,4.0,0.0,2.0,0.0,0.0
thg 8 2011,5.0,0.0,2.0,0.0,0.0
thg 8 2012,5.0,0.0,3.0,0.0,0.0
thg 8 2013,7.0,0.0,3.0,0.0,0.0
thg 8 2014,7.0,0.0,3.0,0.0,0.0
thg 8 2015,9.0,0.0,5.0,0.0,0.0
thg 8 2016,11.0,0.0,7.0,0.0,0.0
thg 8 2017,12.0,0.0,7.0,0.0,0.0
thg 8 2018,14.0,0.0,9.0,0.0,0.0
thg 8 2019,15.0,0.0,11.0,0.0,0.0
thg 8 2020,14.0,0.0,16.0,0.0,0.0
thg 8 2021,12.0,0.0,19.0,0.0,0.0
thg 8 2022,20.0,0.0,18.0,0.0,0.0
thg 8 2023,19.0,0.0,21.0,0.0,0.0
thg 8 2024,21.0,0.0,19.0,1.0,0.0
thg 8 2025,23.0,0.0,22.0,1.0,0.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,0.0,0.0,0.0,0.0,0.0
thg 9 2006,0.0,0.0,0.0,0.0,0.0
thg 9 2007,0.0,0.0,0.0,0.0,0.0
thg 9 2008,4.0,0.0,0.0,0.0,0.0
thg 9 2009,6.0,0.0,1.0,0.0,0.0
thg 9 2010,6.0,0.0,0.0,0.0,0.0
thg 9 2011,5.0,0.0,2.0,0.0,0.0
thg 9 2012,5.0,0.0,2.0,0.0,0.0
thg 9 2013,6.0,0.0,3.0,0.0,0.0
thg 9 2014,7.0,0.0,3.0,0.0,0.0
thg 9 2015,10.0,0.0,5.0,0.0,0.0
thg 9 2016,11.0,0.0,6.0,0.0,0.0
thg 9 2017,14.0,0.0,7.0,0.0,0.0
thg 9 2018,15.0,0.0,9.0,0.0,0.0
thg 9 2019,19.0,0.0,10.0,0.0,0.0
thg 9 2020,17.0,0.0,17.0,0.0,0.0
thg 9 2021,15.0,0.0,16.0,0.0,0.0
thg 9 2022,22.0,0.0,17.0,1.0,0.0
thg 9 2023,19.0,0.0,18.0,1.0,0.0
thg 9 2024,21.0,0.0,16.0,1.0,0.0
thg 9 2025,21.0,0.0,18.0,1.0,0.0
