date,Cù lao Chàm,Phá Tam Giang,Rau má,Sông Hương,Động Thiên Đường
thg 2 2013,2.0,1.0,7.0,13.0,2.0
thg 2 2014,5.0,1.0,9.0,16.0,3.0
thg 2 2015,4.0,1.0,10.0,15.0,2.0
thg 2 2016,7.0,1.0,14.0,18.0,2.0
thg 2 2017,9.0,2.0,22.0,27.0,3.0
thg 2 2018,9.0,2.0,27.0,23.0,3.0
thg 2 2019,13.0,2.0,35.0,27.0,4.0
thg 2 2020,7.0,2.0,43.0,19.0,3.0
thg 2 2021,3.0,2.0,51.0,25.0,4.0
thg 2 2022,19.0,2.0,50.0,39.0,13.0
thg 2 2023,5.0,2.0,62.0,40.0,9.0
thg 2 2024,5.0,3.0,56.0,45.0,6.0
thg 2 2025,6.0,3.0,49.0,40.0,11.0
thg 3 2004,0.0,0.0,0.0,0.0,0.0
thg 3 2005,0.0,0.0,0.0,0.0,0.0
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,0.0,0.0,0.0,24.0,0.0
thg 3 2008,0.0,0.0,0.0,38.0,0.0
thg 3 2009,0.0,0.0,0.0,30.0,0.0
thg 3 2010,0.0,0.0,7.0,20.0,0.0
thg 3 2011,2.0,2.0,5.0,15.0,2.0
thg 3 2012,3.0,1.0,9.0,16.0,2.0
thg 3 2013,5.0,2.0,10.0,17.0,3.0
thg 3 2014,7.0,2.0,14.0,23.0,3.0
thg 3 2015,12.0,2.0,18.0,27.0,3.0
thg 3 2016,11.0,1.0,23.0,35.0,3.0
thg 3 2017,12.0,2.0,29.0,47.0,3.0
thg 3 2018,15.0,2.0,45.0,46.0,4.0
thg 3 2019,13.0,2.0,42.0,48.0,4.0
thg 3 2020,4.0,2.0,55.0,20.0,5.0
thg 3 2021,8.0,2.0,65.0,41.0,8.0
thg 3 2022,8.0,2.0,63.0,59.0,27.0
thg 3 2023,7.0,3.0,81.0,48.0,15.0
thg 3 2024,8.0,3.0,67.0,55.0,10.0
thg 3 2025,8.0,3.0,64.0,47.0,12.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,0.0,0.0,0.0,22.0,0.0
thg 4 2008,0.0,0.0,0.0,21.0,0.0
thg 4 2009,6.0,0.0,7.0,20.0,0.0
thg 4 2010,5.0,7.0,6.0,18.0,0.0
thg 4 2011,4.0,2.0,10.0,14.0,2.0
thg 4 2012,4.0,1.0,12.0,16.0,2.0
thg 4 2013,9.0,2.0,12.0,18.0,3.0
thg 4 2014,9.0,2.0,18.0,19.0,4.0
thg 4 2015,16.0,2.0,20.0,23.0,4.0
thg 4 2016,16.0,2.0,31.0,28.0,3.0
thg 4 2017,15.0,2.0,36.0,39.0,4.0
thg 4 2018,18.0,3.0,44.0,42.0,4.0
thg 4 2019,22.0,4.0,52.0,45.0,6.0
thg 4 2020,4.0,2.0,70.0,30.0,9.0
thg 4 2021,13.0,3.0,62.0,68.0,7.0
thg 4 2022,9.0,3.0,68.0,100.0,16.0
thg 4 2023,9.0,3.0,90.0,60.0,15.0
thg 4 2024,10.0,3.0,77.0,50.0,13.0
thg 4 2025,10.0,3.0,61.0,44.0,12.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,0.0,0.0,0.0,0.0
thg 5 2007,0.0,0.0,0.0,22.0,0.0
thg 5 2008,0.0,0.0,10.0,19.0,0.0
thg 5 2009,7.0,0.0,7.0,17.0,0.0
thg 5 2010,5.0,0.0,10.0,16.0,0.0
thg 5 2011,4.0,0.0,8.0,13.0,2.0
thg 5 2012,5.0,1.0,12.0,12.0,4.0
thg 5 2013,9.0,2.0,14.0,15.0,3.0
thg 5 2014,10.0,2.0,19.0,14.0,4.0
thg 5 2015,15.0,2.0,25.0,15.0,4.0
thg 5 2016,12.0,2.0,26.0,18.0,3.0
thg 5 2017,17.0,2.0,32.0,21.0,3.0
thg 5 2018,18.0,2.0,44.0,25.0,5.0
thg 5 2019,20.0,4.0,46.0,36.0,6.0
thg 5 2020,10.0,2.0,76.0,34.0,7.0
thg 5 2021,3.0,1.0,79.0,42.0,8.0
thg 5 2022,7.0,2.0,64.0,73.0,15.0
thg 5 2023,10.0,2.0,96.0,55.0,12.0
thg 5 2024,10.0,3.0,64.0,38.0,13.0
thg 5 2025,12.0,3.0,62.0,29.0,12.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,0.0,0.0,0.0,0.0,0.0
thg 6 2007,0.0,0.0,0.0,27.0,0.0
thg 6 2008,0.0,0.0,12.0,15.0,0.0
thg 6 2009,6.0,0.0,8.0,12.0,0.0
thg 6 2010,7.0,0.0,0.0,14.0,0.0
thg 6 2011,5.0,1.0,7.0,12.0,3.0
thg 6 2012,5.0,2.0,11.0,9.0,3.0
thg 6 2013,11.0,3.0,11.0,12.0,3.0
thg 6 2014,10.0,1.0,13.0,12.0,3.0
thg 6 2015,17.0,2.0,19.0,14.0,4.0
thg 6 2016,13.0,2.0,23.0,16.0,3.0
thg 6 2017,23.0,2.0,29.0,19.0,5.0
thg 6 2018,20.0,2.0,33.0,46.0,5.0
thg 6 2019,25.0,3.0,46.0,53.0,6.0
thg 6 2020,18.0,3.0,64.0,34.0,8.0
thg 6 2021,2.0,1.0,75.0,22.0,6.0
thg 6 2022,11.0,3.0,70.0,55.0,8.0
thg 6 2023,13.0,3.0,93.0,64.0,9.0
thg 6 2024,13.0,4.0,62.0,26.0,11.0
thg 6 2025,13.0,3.0,56.0,18.0,11.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,0.0,0.0,0.0,44.0,0.0
thg 7 2007,0.0,0.0,0.0,20.0,0.0
thg 7 2008,12.0,0.0,0.0,14.0,0.0
thg 7 2009,8.0,0.0,8.0,28.0,0.0
thg 7 2010,4.0,0.0,6.0,12.0,0.0
thg 7 2011,6.0,2.0,6.0,11.0,3.0
thg 7 2012,6.0,2.0,10.0,11.0,2.0
thg 7 2013,12.0,2.0,12.0,13.0,3.0
thg 7 2014,13.0,2.0,13.0,10.0,3.0
thg 7 2015,16.0,2.0,18.0,13.0,3.0
thg 7 2016,16.0,1.0,22.0,13.0,3.0
thg 7 2017,22.0,2.0,25.0,12.0,4.0
thg 7 2018,20.0,2.0,36.0,13.0,5.0
thg 7 2019,21.0,3.0,38.0,15.0,4.0
thg 7 2020,20.0,4.0,57.0,24.0,7.0
thg 7 2021,2.0,3.0,69.0,20.0,3.0
thg 7 2022,10.0,5.0,63.0,36.0,6.0
thg 7 2023,13.0,4.0,72.0,20.0,5.0
thg 7 2024,13.0,4.0,58.0,21.0,6.0
thg 7 2025,14.0,4.0,67.0,24.0,9.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,0.0,0.0,0.0,0.0
thg 8 2007,0.0,0.0,0.0,33.0,0.0
thg 8 2008,0.0,0.0,0.0,18.0,0.0
thg 8 2009,6.0,0.0,0.0,16.0,0.0
thg 8 2010,0.0,0.0,8.0,10.0,0.0
thg 8 2011,5.0,1.0,5.0,11.0,3.0
thg 8 2012,6.0,1.0,9.0,10.0,2.0
