date,Côn Đảo,Hòn Gầm Ghì,Hòn Mây Rút,Hòn Một,Rau má
thg 7 2013,18.0,0.0,0.0,1.0,10.0
thg 7 2014,16.0,0.0,0.0,2.0,11.0
thg 7 2015,17.0,0.0,0.0,2.0,15.0
thg 7 2016,21.0,0.0,0.0,2.0,18.0
thg 7 2017,51.0,0.0,0.0,3.0,21.0
thg 7 2018,38.0,0.0,0.0,3.0,30.0
thg 7 2019,51.0,0.0,0.0,3.0,31.0
thg 7 2020,71.0,0.0,0.0,6.0,47.0
thg 7 2021,13.0,0.0,0.0,5.0,57.0
thg 7 2022,67.0,0.0,0.0,7.0,51.0
thg 7 2023,51.0,0.0,0.0,4.0,59.0
thg 7 2024,45.0,0.0,0.0,5.0,48.0
thg 7 2025,48.0,0.0,0.0,8.0,55.0
thg 8 2004,0.0,0.0,0.0,0.0,0.0
thg 8 2005,0.0,0.0,0.0,0.0,0.0
thg 8 2006,0.0,0.0,0.0,0.0,0.0
thg 8 2007,13.0,0.0,0.0,0.0,0.0
thg 8 2008,10.0,0.0,0.0,0.0,0.0
thg 8 2009,10.0,0.0,0.0,0.0,0.0
thg 8 2010,8.0,0.0,0.0,0.0,7.0
thg 8 2011,12.0,0.0,0.0,2.0,4.0
thg 8 2012,12.0,0.0,0.0,2.0,7.0
thg 8 2013,14.0,0.0,0.0,2.0,9.0
thg 8 2014,11.0,0.0,0.0,2.0,9.0
thg 8 2015,16.0,0.0,0.0,2.0,15.0
thg 8 2016,19.0,0.0,0.0,3.0,20.0
thg 8 2017,40.0,0.0,0.0,3.0,20.0
thg 8 2018,31.0,0.0,0.0,3.0,26.0
thg 8 2019,42.0,0.0,0.0,4.0,30.0
thg 8 2020,28.0,0.0,0.0,3.0,47.0
thg 8 2021,12.0,0.0,0.0,6.0,61.0
thg 8 2022,55.0,0.0,0.0,6.0,51.0
thg 8 2023,40.0,0.0,0.0,5.0,54.0
thg 8 2024,38.0,0.0,0.0,6.0,51.0
thg 8 2025,42.0,0.0,0.0,8.0,60.0
thg 9 2004,0.0,0.0,0.0,0.0,0.0
thg 9 2005,59.0,0.0,0.0,0.0,0.0
thg 9 2006,0.0,0.0,0.0,0.0,0.0
thg 9 2007,15.0,0.0,0.0,0.0,0.0
thg 9 2008,14.0,0.0,0.0,0.0,0.0
thg 9 2009,9.0,0.0,0.0,0.0,0.0
